
2025/04/30 (09:47:18) | ===> btop++ v.1.4.0
2025/04/30 (09:47:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/02 (03:49:36) | ===> btop++ v.1.4.0
2025/05/02 (03:49:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/02 (18:59:08) | ===> btop++ v.1.4.0
2025/05/02 (18:59:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (04:35:17) | ===> btop++ v.1.4.0
2025/05/03 (04:35:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (22:56:13) | ===> btop++ v.1.4.0
2025/05/03 (22:56:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/03 (22:56:22) | ===> btop++ v.1.4.0
2025/05/03 (22:56:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/04 (01:08:24) | ===> btop++ v.1.4.0
2025/05/04 (01:08:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/04 (19:52:57) | ===> btop++ v.1.4.0
2025/05/04 (19:52:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/04 (23:42:26) | ===> btop++ v.1.4.0
2025/05/04 (23:42:26) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/04 (23:47:50) | INFO: Logger set to INFO
2025/05/04 (23:47:51) | INFO: Logger set to DEBUG
2025/05/04 (23:47:53) | INFO: Logger set to INFO

2025/05/06 (22:21:23) | ===> btop++ v.1.4.0
2025/05/06 (22:21:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/06 (22:22:03) | ===> btop++ v.1.4.0
2025/05/06 (22:22:03) | WARNING: Intel GPU: Failed to initialize PMU
